confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,DeepLearning,0.325,Mathematical Foundations of Artificial Intelligence,"Mathematical Foundations of Artificial Intelligence - Basics of Manifold Theory (Momiao Xiong) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Mathematical Foundations of Artificial Intelligence - Basics of Manifold Theory (Momiao Xiong) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:deep learning; body:transformer
0.350,DeepLearning,0.325,Natural Language Processing with Transformers,"Lewis Tunstall, Leandro von Werra, Thomas Wolf - Natural Language Processing with Transformers_ Building Language Applications with Hugging Face (2022, O'Reilly Media) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Lewis Tunstall, Leandro von Werra, Thomas Wolf - Natural Language Processing with Transformers_ Building Language Applications with Hugging Face (2022, O'Reilly Media) - libgen.li.pdf",body:deep learning; body:transformer
0.350,DeepLearning,0.325,Natural Language Processing with Transformers,"Natural Language Processing with Transformers Building Language Applications with Hugging Face (Lewis Tunstall, Leandro von Werra, Thomas Wolf) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Natural Language Processing with Transformers Building Language Applications with Hugging Face (Lewis Tunstall, Leandro von Werra, Thomas Wolf) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:deep learning; body:transformer
0.350,DeepLearning,0.325,Strengthening Deep Neural Networks,"Strengthening Deep Neural Networks Making AI Less Susceptible to Adversarial Trickery (Katy Warr) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Strengthening Deep Neural Networks Making AI Less Susceptible to Adversarial Trickery (Katy Warr) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:deep learning; body:neural network
0.350,DeepLearning,0.325,"The Welch Labs Illustrated Guide to AI (Stephen Welch) (z-library.sk, 1lib.sk, z-lib.sk)","The Welch Labs Illustrated Guide to AI (Stephen Welch) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/The Welch Labs Illustrated Guide to AI (Stephen Welch) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:backpropagation; body:deep learning
0.350,DeepLearning,0.325,Transfer Learning for Natural Language Processing,"Transfer Learning for Natural Language Processing (Paul Azunre) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Transfer Learning for Natural Language Processing (Paul Azunre) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:neural network; body:transformer
0.350,DeepLearning,0.338,"[EXPERT INSIGHT] Manu Joseph, Jeffrey Tackes - Modern Time Series Forecasting with Python_ Industry-ready machine learning and deep learning time series analysis with PyTorch (2024, Papercut Limited) - libgen.li","[EXPERT INSIGHT] Manu Joseph, Jeffrey Tackes - Modern Time Series Forecasting with Python_ Industry-ready machine learning and deep learning time series analysis with PyTorch (2024, Papercut Limited) - libgen.li.pdf","/Users/longtran/Documents/E-Books/[EXPERT INSIGHT] Manu Joseph, Jeffrey Tackes - Modern Time Series Forecasting with Python_ Industry-ready machine learning and deep learning time series analysis with PyTorch (2024, Papercut Limited) - libgen.li.pdf",body:deep learning; filename:deep learning
0.350,DeepLearning,0.338,"Adaptive Learning of Polynomial Networks Genetic Programming, Backpropagation and Bayesian Methods (Nikolay Y. Nikolaev, Hitoshi Iba) (z-library.sk, 1lib.sk, z-lib.sk)","Adaptive Learning of Polynomial Networks Genetic Programming, Backpropagation and Bayesian Methods (Nikolay Y. Nikolaev, Hitoshi Iba) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Adaptive Learning of Polynomial Networks Genetic Programming, Backpropagation and Bayesian Methods (Nikolay Y. Nikolaev, Hitoshi Iba) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:backpropagation; filename:backpropagation
0.350,DeepLearning,0.338,"Moore, Stephen_Shanmugamani, Rajalingappaa - Deep learning for computer vision_ expert techniques to train advanced neural networks using TensorFlow and Keras (2018, Packt.) - libgen.li","Moore, Stephen_Shanmugamani, Rajalingappaa - Deep learning for computer vision_ expert techniques to train advanced neural networks using TensorFlow and Keras (2018, Packt.) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Moore, Stephen_Shanmugamani, Rajalingappaa - Deep learning for computer vision_ expert techniques to train advanced neural networks using TensorFlow and Keras (2018, Packt.) - libgen.li.pdf",body:deep learning; filename:deep learning
0.350,DeepLearning,0.338,Title,"Deep Learning for Computer Vision with Python, Volume 3 (Adrian Rosebrock) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Deep Learning for Computer Vision with Python, Volume 3 (Adrian Rosebrock) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:deep learning; filename:deep learning
